CurrentTime,Line,TripID,Destination,StopID,Stop,SecondsAway,PosTimestamp,TrainNumber,PosLatitude,PosLongitude,PosHeading,Note
1381456481,Red,R98328682,Alewife,70094,Ashmont,919,,,,,,
1381456481,Red,R98328682,Alewife,70092,Shawmut,990,,,,,,
1381456481,Red,R98328682,Alewife,70090,Fields Corner,1100,,,,,,
1381456481,Red,R98328681,Ashmont,70089,Fields Corner,63,1381456456,1623,42.30671,-71.05499,195,
1381456481,Red,R98328681,Ashmont,70091,Shawmut,181,1381456456,1623,42.30671,-71.05499,195,
1381456481,Red,R98328681,Ashmont,70093,Ashmont,333,1381456456,1623,42.30671,-71.05499,195,
1381456481,Red,R983287C4,Braintree,70077,Downtown Crossing,31,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983287C4,Braintree,70079,South Station,113,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983287C4,Braintree,70081,Broadway,257,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983287C4,Braintree,70083,Andrew,386,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983287C4,Braintree,70095,JFK/UMass,534,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983287C4,Braintree,70097,North Quincy,988,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983287C4,Braintree,70099,Wollaston,1118,1381456428,1650,42.35648,-71.06265,130,
1381456481,Red,R983286DF,Ashmont,70061,Alewife,619,,,,,,
1381456481,Red,R983286DF,Ashmont,70063,Davis,703,,,,,,
1381456481,Red,R983286DF,Ashmont,70065,Porter Square,825,,,,,,
1381456481,Red,R983286DF,Ashmont,70067,Harvard Square,990,,,,,,
1381456481,Red,R9832878F,Alewife,70105,Braintree,679,,,,,,
1381456481,Red,R9832878F,Alewife,70104,Quincy Adams,894,,,,,,
1381456481,Red,R9832878F,Alewife,70102,Quincy Center,1059,,,,,,
1381456481,Red,R9832881E,Braintree,70061,Alewife,979,,,,,,
1381456481,Red,R9832881E,Braintree,70063,Davis,1063,,,,,,
1381456481,Red,R9832881E,Braintree,70065,Porter Square,1185,,,,,,
1381456481,Red,R9832881D,Alewife,70068,Harvard Square,127,1381456432,1858,42.36598,-71.10479,310,
